date,reed_area_km2
2013-12-17,0.26056465501134535
2015-01-05,8.851520055319153
2015-01-21,8.820650239221912
2015-04-20,0.006557590701832491
2015-04-20,0.006557590701832491
2015-12-07,0.021611667358398437
2016-02-25,0.25068450281886684
2017-02-27,1.6123853743973076
2019-03-05,0.0
2022-02-01,0.0
2023-02-04,0.22782367840576173
2023-02-13,0.0
2023-02-20,0.963349266719085
2023-04-25,1.1745848011199358
2023-05-03,8.590551454315303
2025-02-09,8.77583643226869
2025-02-25,0.12156589318847656
2025-05-16,9.1463545132262
