date,precip_mm
2013-01,106.25528053136975
2013-02,64.42829058720518
2013-03,83.51107060297943
2013-04,46.546800724752664
2013-05,67.0278271720523
2013-06,0.0
2013-07,3.5286469983530577
2013-08,6.499202280690819
2013-09,0.0
2013-10,11.052090533923755
2013-11,134.8251989542783
2013-12,180.29144122050366
2014-01,70.39690644313127
2014-02,46.78923791406793
2014-03,156.16045854248847
2014-04,47.956665935533834
2014-05,26.397217504707456
2014-06,4.989600062370301
2014-07,6.942160547871294
2014-08,7.132511479513987
2014-09,0.0
2014-10,44.03966803952452
2014-11,140.40505658837904
2014-12,79.62620338328158
2015-01,33.90073877944178
2015-02,59.67337765798465
2015-03,89.73921799921729
2015-04,34.811164125854724
2015-05,30.239979501608964
2015-06,3.8390337407807302
2015-07,3.6646923259064397
2015-08,6.454442021174309
2015-09,0.031695007827583256
2015-10,74.99928488443187
2015-11,115.73570724808692
2015-12,155.5872086884775
2016-01,65.52017150781094
2016-02,91.98914797489462
2016-03,177.28842946024608
2016-04,85.39794492197562
2016-05,34.72523977118971
2016-06,0.0
2016-07,3.529135371302511
2016-08,6.499201870226599
2016-09,0.0
2016-10,12.057342951114364
2016-11,26.850587146186136
2016-12,193.34217782422303
2017-01,40.683933678127474
2017-02,79.29028849549347
2017-03,207.02100069356928
2017-04,106.14672713401993
2017-05,30.064470878669194
2017-06,0.0
2017-07,3.578497232971611
2017-08,6.684184530715804
2017-09,0.0
2017-10,10.457888706699835
2017-11,109.44908139993858
2017-12,100.78949791695173
2018-01,72.40357282834178
2018-02,209.5309405274444
2018-03,81.02618412613432
2018-04,134.32453036832288
2018-05,90.5489922438786
2018-06,0.0
2018-07,3.528704829268404
2018-08,6.499202357980359
2018-09,0.1881025987830791
2018-10,46.61583168842854
2018-11,158.00475326649874
2018-12,263.60941274808687
2019-01,128.1661395424015
2019-02,80.81995539394492
2019-03,231.5458200248607
2019-04,145.93539739239984
2019-05,38.52589175792841
2019-06,3.129271149988399
2019-07,3.5286489554813936
2019-08,6.910316836702956
2019-09,0.0
2019-10,47.712526253728214
2019-11,36.13721382319045
2019-12,137.49504286727625
2020-01,56.78619613228265
2020-02,118.94070150127344
2020-03,197.16344525176532
2020-04,85.29343123226377
2020-05,21.14050254279973
2020-06,2.87230619851049
2020-07,5.4941683295882235
2020-08,6.50106220542293
2020-09,0.044429837274467476
2020-10,9.06810936910329
2020-11,221.56818993624316
2020-12,68.7839353757027
2021-01,36.37912083938445
2021-02,98.81332601907054
2021-03,109.0757243650737
2021-04,34.95451472967099
2021-05,16.659860563802198
2021-06,0.0
2021-07,3.5673909541014797
2021-08,10.82500699937562
2021-09,0.0
2021-10,21.659905045023773
2021-11,67.3442944650685
2021-12,73.5869213146168
2022-01,79.30608676903415
2022-02,85.42883810368215
2022-03,127.26495624592891
2022-04,65.13072817142195
2022-05,21.70806496658605
2022-06,1.039776832520307
2022-07,3.528649765056569
2022-08,6.499197893090301
2022-09,1.0091684913705574
2022-10,15.548063061612869
2022-11,77.66059980811656
2022-12,66.93439822493893
2023-01,76.0605703343402
2023-02,58.61233518018828
2023-03,177.79615919057272
2023-04,107.77813140354753
2023-05,85.18030772410033
2023-06,5.670838030485007
2023-07,3.5289735296270357
2023-08,6.6427706746391335
2023-09,0.0
2023-10,14.171317848967112
2023-11,99.84194268411773
2023-12,61.890064746905615
2024-01,66.97186514396807
2024-02,111.03977603528091
2024-03,171.07044100848748
2024-04,80.6279075294085
2024-05,74.27444234041197
2024-06,5.210444805355387
2024-07,3.528654315969447
2024-08,6.643630999640857
2024-09,0.0
2024-10,11.936819873896901
2024-11,115.97365757309912
2024-12,84.73631814973697
2025-01,24.71207733867457
2025-02,62.159802538894155
2025-03,111.22951210287466
2025-04,80.21810446379388
2025-05,36.95808154442809
2025-06,1.6761472724623734
2025-07,6.319487186578605
2025-08,6.638223511395438
2025-09,0.0
2025-10,9.111274493046297
2025-11,37.05646161174282
2025-12,283.22210192767693
